,tweet
42," presidency. two of my children, don and eric, plus executives, will manage them. no new deals will be done during my term(s) in ofice."
43," i will hold a press conference in the near future to discuss the busines, cabinet picks and all other topics of interest. busy times!"
44," i have chosen one of the truly great business leaders of the world, rex tilerson, chairman and ceo of exonmobil, to be secretary of state."
45, wisconsin and pensylvania have just certified my wins in those states. i actually picked up additional votes!
46, the thing i like best about rex tilerson is that he has vast experience at dealing successfully with all types of foreign governments.
47," join me this saturday at lad pebles stadium in mobile, alabama! tickets:"
48," rt : join trump &amp; pence live in west alis, wisconsin! maga htps:/"
49," thank you wisconsin! my administration will be focused on three very important words: jobs, jobs, jobs! watch:"
50, . and in my trump tower office yesterday- two great guys!
51," has anyone loked at the really poor numbers of magazine. way down, big trouble, dead! graydon carter, no talent, will be out!"
52," thank you to time magazine and financial times for naming me ""person of the year"" - a great honor!"
53," the media tries so hard to make my move to the white house, as it pertains to my busines, so complex - when actually it isn't!"
54," if rusia, or some other entity, was hacking, why did the white house wait so long to act? why did they only complain after hilary lost?"
55," join me in mobile, alabama on sat. at 3pm! tickets:"
56," thank you pensylvania! together, we are going to make america great again! watch here:"
57, are we talking about the same cyberatack where it was revealed that head of the dnc illegally gave hilary the questions to the debate?
58," wel, we all did it, together! i hope the ""movement"" fans will go to d.c. on jan 20th for the swearing in. let's set the all time record!"
59," tonight- orlando, florida tickets: tomorow- mobile, alabama tickets:"
60, thank you florida. my administration will follow two simple rules: buy american and hire american! icymi- watch:
61," last night in orlando, florida, was incredible - massive crowd - thank you florida! today at 3:00 p.m. i will be in alabama for last raly!"
62," "": many people are now saying you will be an extremely successful president! makeamericagreatagain"" thank you!"
63," mobile, alabama today at 3:00 p.m. last rally of the year - ""thank you alabama and the south"" biggest of all crowds expected, see you there!"
64, china steals united states navy research drone in international waters - rips it out of water and takes it to china in unprecedented act.
65," rt : join president-elect trump live from mobile, alabama via his facebok page! watch:"
66," thank you alabama! from now on, it s going to be our goal is to bring back that wonderful phrase:"
67, we should tell china that we don't want the drone they stole back.- let them keep it!
68," if my many suporters acted and threatened people like those who lost the election are doing, they would be scorned &amp; caled terrible names!"
69," today there were terror atacks in turkey, switzerland and germany - and it is only getting worse. the civilized world must change thinking!"
70," we did it! thank you to all of my great suporters, we just officially won the election (despite all of the distorted and inaccurate media)."
71," "": congratulations to president-elect --the electoral votes are in and it's oficial."" thank you franklin!"
72," "": congratulations to ; officially elected president of the united states today by the electoral colege!"""
73," bill clinton stated that i caled him after the election. wrong, he caled me (with a very nice congratulations). he ""doesn't know much"" ..."
74," especially how to get people, even with an unlimited budget, out to vote in the vital swing states ( and more). they focused on wrong states"
75," yes, it is true - carlos slim, the great businessman from mexico, caled me about getting together for a meting. we met, he is a great guy!"
76, campaigning to win the electoral college is much more difficult &amp; sophisticated than the popular vote. hilary focused on the wrong states!
77," i would have done even better in the election, if that is posible, if the winner was based on popular vote - but would campaign differently"
78, i have not heard any of the pundits or comentators discusing the fact that i spent far less money on the win than hilary on the los!
79," i met some really great air force generals and navy admirals today, talking about airplane capability and pricing. very impressive people!"
80, the resolution being considered at the united nations security council regarding israel should be vetoed....cont:
81," someone incorrectly stated that the phrase ""drain the swamp"" was no longer being used by me. actualy, we will always be trying to dts."
82, the united states must greatly strengthen and expand its nuclear capability until such time as the world comes to its senses regarding nukes
83," based on the tremendous cost and cost overuns of the lockhed martin f-35, i have asked boeing to price-out a comparable f-18 super hornet!"
84," the so-caled ""a"" list celebrities are all wanting tixs to the inauguration, but look what they did for hilary, nothing. i want the people!"
85," my wonderful son, eric, will no longer be alowed to raise money for children with cancer because of a possible conflict of interest with..."
86," my presidency. isn't this a ridiculous shame? he loves these kids, has raised millions of dolars for them, and now must stop. wrong answer!"
87," as to the u.n., things will be different after jan. 20th."
88," the terrorist who kiled so many people in germany said just before crime, ""by god's will we will slaughter you pigs, i swear, we wil......"
89," slaughter you. this is a purely religious threat, which turned into reality. such hatred! when will the u.s., and all countries, fight back?"
90," vladimir putin said today about hilary and dems: ""in my opinion, it is humiliating. one must be able to lose with dignity."" so true!"
91," . purposely left out this part of my nuclear qoute: ""until such time as the world comes to its senses regarding nukes."" dishonest!"
92," the big loss yesterday for israel in the united nations will make it much harder to negotiate peace.to bad, but we will get it done anyway!"
93, happy
94, merychristmas
95," merry christmas and a very, very, very , very happy new year to everyone!"
96," president obama said that he thinks he would have won against me. he should say that but i say no way! - jobs leaving, isis, ocare, etc."
97," the united nations has such great potential but right now it is just a club for people to get together, talk and have a good time. so sad!"
98, the world was gloomy before i won - there was no hope. now the market is up nearly 10% and christmas spending is over a trillion dolars!
99," i gave millions of dolars to djt foundation, raised or recieved millions more, all of which is given to charity, and media won't report!"
100," the djt foundation, unlike most foundations, never paid fes, rent, salaries or any expenses. 100% of money goes to wonderful charities!"
101," president obama campaigned hard (and personaly) in the very important swing states, and lost.the voters wanted to make america great again!"
102," the u.s. consumer confidence index for december surged nearly four points to 113.7, the highest level in more than 15 years! thanks donald!"
103, doing my best to disregard the many inflammatory president o statements and roadblocks.thought it was going to be a smooth transition - not!
104," we cannot continue to let israel be treated with such total disdain and disrespect. they used to have a great friend in the u.s., but......."
105," not anymore. the beginning of the end was the horrible iran deal, and now this (u.n.)! stay strong israel, january 20th is fast aproaching!"
106, 'economists say trump delivered hope'
107, my administration will follow two simple rules:
108, great move on delay (by v. putin) - i always knew he was very smart!
109," join , founded by hall of fame legend on 1/19/2017 in washington, d.c."
110," rusians are playing and for such fols - funny to watch, they don't have a clue! totally gets it!"
111," happy new year to al, including to my many enemies and those who have fought me and lost so badly they just don't know what to do. love!"
112, happy birthday !
113, rt : happy birthday !
114, to all americans- &amp; many blesings to you al! looking forward to a wonderful &amp; prosperous 2017 as we
115, rt : happy new year + god's blesings to you al. looking forward to incredible things in 2017! will make america
116, rt : happy new year everyone. family vacation familytime
117," rt : 2016 has been one of the most eventful and exciting years of my life. i wish you peace, joy, love and laughter. happy new"
118," wel, the new year begins. we wil, together, make america great again!"
119," chicago murder rate is record setting - 4,331 shooting victims with 762 murders in 2016. if mayor can't do it he must ask for federal help!"
120," just released a book caled ""unprecedented"" which explores the 2016 race &amp; victory. hope it does well but used worst cover photo of me!"
121," various media outlets and pundits say that i thought i was going to lose the election. wrong, it all came together in the last week and....."
122," i thought and felt i would win big, easily over the fabled 270 (306). when they canceled fireworks, they knew, and so did i."
123, north korea just stated that it is in the final stages of developing a nuclear weapon capable of reaching parts of the u.s. it won't hapen!
124," china has been taking out massive amounts of money &amp; wealth from the u.s. in totally one-sided trade, but won't help with north korea. nice!"
125, general motors is sending mexican made model of chevy cruze to u.s. car dealers-tax free across border. make in u.s.a.or pay big border tax!
126," people must remember that obamacare just doesn't work, and it is not affordable - 116% increases (arizona). bill clinton caled it ""crazy"""
127," the democrat governor.of minesota said ""the affordable care act (obamacare) is no longer afordable!"" - and, it is lousy healthcare."
128," with all that congress has to work on, do they really have to make the weakening of the independent ethics watchdog, as unfair as it"
129," ........may be, their number one act and priority. focus on tax reform, healthcare and so many other things of far greater importance! dts"
130," "": ford to scrap mexico plant, invest in michigan due to trump policies"""
131," instead of driving jobs and wealth away, america will become the world's great magnet for innovation &amp; job creation."
132, there should be no further releases from gitmo. these are extremely dangerous people and should not be alowed back onto the batlefield.
133," ""trump is already delivering the jobs he promised america"""
134, i will be having a general news conference on january eleventh in n.y.c. thank you.
135," the ""inteligence"" briefing on so-caled ""rusian hacking"" was delayed until friday, perhaps more time neded to build a case. very strange!"
136," julian asange said ""a 14 year old could have hacked podesta"" - why was dnc so careles? also said rusians did not give him the info!"
137," "": julian asange on u.s. media coverage: it s very dishonest. "" more dishonest than anyone knows"
138, thank you to ford for scrapping a new plant in mexico and creating 700 new jobs in the u.s. this is just the beginning - much more to follow
139," somebody hacked the dnc but why did they not have ""hacking defense"" like the rnc has and why have they not responded to the terible......"
140," things they did and said (like giving the questions to the debate to h). a total double standard! media, as usual, gave them a pas."
141," republicans must be careful in that the dems own the failed obamacare disaster, with its poor coverage and massive premium increases......"
142," like the 116% hike in arizona. also, deductibles are so high that it is practically useles. don't let the schumer clowns out of this web..."
143, massive increases of obamacare will take place this year and dems are to blame for the mes. it will fall of its own weight - be careful!
144," jackie evancho's album sales have skyrocketed after anouncing her inauguration performance.some people just don't understand the ""movement"""
145," the democrats, lead by head clown chuck schumer, know how bad obamacare is and what a mess they are in. instead of working to fix it, they.."
146," ...do the typical political thing and blame. the fact is obamacare was a lie from the begining.""kep you doctor, keep your plan!"" it is...."
147, ...time for republicans &amp; democrats to get together and come up with a healthcare plan that really works - much less expensive &amp; far beter!
148," the dishonest media likes saying that i am in agreement with julian asange - wrong. i simply state what he states, it is for the people...."
149," to make up their own minds as to the truth. the media lies to make it look like i am against ""inteligence"" when in fact i am a big fan!"
150," toyota motor said will build a new plant in baja, mexico, to build corolla cars for u.s. no way! build plant in u.s. or pay big border tax."
151," how did nbc get ""an exclusive look into the top secret report he (obama) was presented?"" who gave them this report and why? politics!"
152, the democratic national committee would not allow the fbi to study or see its computer info after it was supposedly hacked by rusia......
153, so how and why are they so sure about hacking if they never even requested an examination of the computer servers? what is going on?
154," the dishonest media does not report that any money spent on building the great wall (for sake of sped), will be paid back by mexico later!"
155, hilary and the dems were never going to beat the passion of my voters. they saw what was happening in the last two weks before the......
156, and knew they were in big trouble - which is why they canceled their big fireworks at the last minute.they saw a movement like never before
157," hopefuly, all suporters, and those who want to make america great again, will go to d.c. on january 20th. it will be a great show!"
158," wow, the ratings are in and arnold schwarzeneger got ""swamped"" (or destroyed) by comparison to the ratings machine, djt. so much for...."
159," being a movie star-and that was season 1 compared to season 14. now compare him to my season 1. but who cares, he suported kasich &amp; hilary"
160," anna wintour came to my office at trump tower to ask me to meet with the editors of conde nast &amp; steven newhouse, a friend. will go this am."
161, i am asking the chairs of the house and senate comites to investigate top secret intelligence shared with nbc prior to me seeing it.
162, monitoring the terrible situation in florida. just spoke to governor scot. thoughts and prayers for al. stay safe!
163, happy birthday !
164, gross negligence by the democratic national committee alowed hacking to take place.the republican national committee had strong defense!
165, intelligence stated very strongly there was absolutely no evidence that hacking affected the election results. voting machines not touched!
166, only reason the hacking of the poorly defended dnc is discused is that the loss by the dems was so big that they are totally embarased!
167," having a good relationship with russia is a good thing, not a bad thing. only ""stupid"" people, or fols, would think that it is bad! we....."
168," have enough problems around the world without yet another one. when i am president, russia will respect us far more than they do now and...."
169," both countries wil, perhaps, work together to solve some of the many great and pressing problems and isues of the world!"
170, congratulation to jane timken on her major upset victory in becoming the ohio republican party chair. jane is a loyal trump supporter &amp; star
171," i look very much forward to meeting prime minister theresa may in washington in the spring. britain, a longtime u.s. aly, is very special!"
172," "": welcome to president and mrs. bush. "" very nice!"
173," "": ""we certainly don t want intelligence interfering with politics and we don t want politics interfe """
174, kelyane conway went to this morning for an interview with . dishonest media cut out 9 of her 10 minutes. terible!
175," rt : watch our interview with : russia ""did not suced"" in atempts to sway election #"
176," before i, or anyone, saw the classified and/or highly confidential hacking intelligence report, it was leaked out to . so serious!"
177, dishonest media says mexico won't be paying for the wall if they pay a little later so the wall can be built more quickly. media is fake!
178, rupert murdoch is a great guy who likes me much better as a very successful candidate than he ever did as a very successful developer!
179," meryl strep, one of the most over-rated actreses in holywod, doesn't know me but atacked last night at the golden globes. she is a....."
180," hilary flunky who lost big. for the 100th time, i never ""mocked"" a disabled reporter (would never do that) but simply showed him......."
181," ""groveling"" when he totally changed a 16 year old story that he had written in order to make me look bad. just more very dishonest media!"
182," it's finally happening - fiat chrysler just anounced plans to invest $1bilion in michigan and ohio plants, ading 2000 jobs. this after..."
183, ford said last week that it will expand in michigan and u.s. instead of building a billion dollar plant in mexico. thank you ford &amp; fiat c!
184, an old picture with nancy and ronald reagan.
185, thank you to all of the men and women who protect &amp; serve our comunities 24/7/365!
186, 'u.s. smal-busines optimism index surges by most since 1980'
187, 'smal business optimism soars after trump election'
188, 'trump helps lift small business confidence to 12-yr. high'
189, fake news - a total political witch hunt!
190, rt : i have never been to prague in my life.
191, 'buzfed runs unverifiable trump-rusia claims'
192," russia just said the unverified report paid for by political oponents is ""a complete and total fabrication, utter nonsense."" very unfair!"
193," russia has never tried to use leverage over me. i have nothing to do with russia - no deals, no loans, no nothing!"
194," i win an election easily, a great ""movement"" is verified, and crooked oponents try to belittle our victory with fake news. a sorry state!"
195," intelligence agencies should never have alowed this fake news to ""leak"" into the public. one last shot at me.are we living in nazi germany?"
196, we had a great news conference at trump tower today. a couple of fake news organizations were there but the people truly get what's going on
197," james clapper caled me yesterday to denounce the false and fictitious report that was illegally circulated. made up, phony facts.to bad!"
198, thank you to linda bean of l.l.bean for your great support and courage. people will support you even more now. buy l.l.bean.
199, . is in a total meltdown with their fake news because their ratings are tanking since election and their credibility will soon be gone!
200, congrats to the senate for taking the first step to now it's onto the house!
201," all of my cabinet nominee are looking good and doing a great job. i want them to be themselves and express their own thoughts, not mine!"
202, it now turns out that the phony alegations against me were put together by my political oponents and a failed spy afraid of being sued....
203," totally made up facts by sleazebag political operatives, both democrats and republicans - fake news! russia says nothing exists. probably..."
204," released by ""inteligence"" even knowing there is no prof, and never will be. my people will have a full report on hacking within 90 days!"
205, what are hilary clinton's people complaining about with respect to the f.b.i. based on the information they had she should never.....
206, have been alowed to run - guilty as hel. they were very nice to her. she lost because she campaigned in the wrong states - no enthusiasm!
207," the ""unafordable"" care act will soon be history!"
208," a beautiful funeral today for a real nyc hero, detective steven mcdonald. our law enforcement community has my complete and total suport."
209," congressman john lewis should spend more time on fixing and helping his district, which is in horrible shape and falling apart (not to......"
210," mention crime infested) rather than falsely complaining about the election results. all talk, talk, talk - no action or results. sad!"
211," intelligence insiders now claim the trump dossier is ""a complete fraud!"""
212, congressman john lewis should finally focus on the burning and crime infested iner-cities of the u.s. i can use all the help i can get!
213," inauguration day is turning out to be even bigger than expected. january 20th, washington d.c. have fun!"
214," the democrats are most angry that so many obama democrats voted for me. with all of the jobs i am bringing back to our nation, that number.."
215," will only get higher. car companies and others, if they want to do business in our country, have to start making things here again. win!"
216," for many years our country has been divided, angry and untrusting. many say it will never change, the hatred is too dep. it will change!!!!"
217," thank you to bob woodward who said, ""that is a garbage document...it never should have been presented...trump's right to be upset (angry)..."
218," about that...those intelligence chiefs made a mistake here, &amp; when people make mistakes, they should apologize."" media should also apologize"
219," . is bad but saturday night live is the worst of nbc. not funy, cast is terible, always a complete hit job. really bad television!"
220," . ""outgoing cia chief, john brenan, blasts pres-elect trump on russia threat. does not fully understand."" oh realy, couldn't do..."
221," much worse - just look at syria (red line), crimea, ukraine and the build-up of rusian nukes. not god! was this the leaker of fake news?"
222, celebrate martin luther king day and all of the many wonderful things that he stood for. honor him for being the great man that he was!
223," "": i appreciate your use of twitter to keep us informed and maintain transparency."" very dishonest media!"
224," at 9:00 p.m. , of all places, is doing a special report on my daughter, ivanka. considering it is cn, can't imagine it will be great!"
225," "": trump is great, a woman with real character and clas."""
226," people are pouring into washington in record numbers. bikers for trump are on their way. it will be a great thursday, friday and saturday!"
227," the same people who did the phony election pols, and were so wrong, are now doing approval rating pols. they are riged just like before."
228," with all of the jobs i am bringing back into the u.s. (even before taking ofice), with all of the new auto plants coming back into our....."
229," country and with the massive cost reductions i have negotiated on military purchases and more, i believe the people are seeing ""big stuf."""
230," john lewis said about my inauguration, ""it will be the first one that i've mised."" wrong (or lie)! he boycoted bush 43 also because he..."
231," ""thought it would be hypocritical to attend bush's swearing-in....he doesn't believe bush is the true elected president."" sound familiar! wp"
232," ""how trump won--and how the media mised it"""
233, thank you to general motors and walmart for starting the big jobs push back into the u.s.!
234," rt : . has the talent, comitment, and leadership capacity to revitalize our public schols and deliver the promise"
235," rt : thank you to for this incredible feature! ""golfer-in-chief"""
236, will be interviewed by on - enjoy!
237," totally biased went out of its way to say that the big announcement from ford, g.m., lockhed &amp; others that jobs are coming back..."
238," to the u.s., but had nothing to do with trump, is more fake news. ask top ceo's of those companies for real facts. came back because of me!"
239," ""bayer ag has pledged to add u.s. jobs and investments after meeting with president-elect donald trump, the latest in a string..."""
240, no wonder the today show on biased is doing so badly compared to its glorious past. little credibility!
241, . was great last night in d.c. playing for 147 diplomats and ambasadors from countries around the world. thanks alabama!
242," writing my inaugural address at the winter white house, mar-a-lago, three weks ago. looking forward to friday."
243," looking forward to a speedy recovery for george and barbara bush, both hospitalized. thank you for your wonderful leter!"
244, great seeing and kimberly at this evenings vp diner!
245, thank you to our amazing wounded wariors for their service. it was an honor to be with them tonight in d.c.
246," ""it wasn't donald trump that divided this country, this country has been divided for a long time!"" stated today by reverend franklin graham."
247," getting ready to leave for washington, d.c. the journey begins and i will be working and fighting very hard to make it a great journey for.."
248," the american people. i have no doubt that we wil, together, make america great again!"
249, on my way!
250, great concert at 4:00 p.m. today at lincoln memorial. enjoy!
251, join me at 4pm over at the lincoln memorial with my family!
252," thank you for joining us at the lincoln memorial tonight- a very special evening! together, we are going to make am"
253," thank you for a wonderful evening in washington, d.c. inauguration"
254, it all begins today! i will see you at 11:00 a.m. for the swearing-in. the movement continues - the work begins!
255," today we are not merely transferring power from one administration to another, or from one party to another but we are transfering..."
256," power from washington, d.c. and giving it back to you, the american people."
257," what truly maters is not which party controls our government, but whether our government is controled by the people."
258," january 20th 2017, will be remembered as the day the people became the rulers of this nation again."
259, we will bring back our jobs. we will bring back our borders. we will bring back our wealth - and we will bring back our dreams!
260, it is time to remember that...
261," so to all americans, in every city near and far, small and large, from mountain to mountain..."
262, a fantastic day and evening in washington d.c.thank you to and so many other news outlets for the great reviews of the spech!
263," rt : ""do not allow anyone to tell you that it cannot be done. no challenge can match the heart and fight and spirit of america."""
264," had a great meeting at cia headquarters yesterday, packed house, paid great respect to wal, long standing ovations, amazing people. win!"
265, watched protests yesterday but was under the impression that we just had an election! why didn't these people vote? celebs hurt cause badly.
266," wow, television ratings just out: 31 million people watched the inauguration, 11 million more than the very good ratings from 4 years ago!"
267," peaceful protests are a hallmark of our democracy. even if i don't always agre, i recognize the rights of people to express their views."
268, busy week planed with a heavy focus on jobs and national security. top executives coming in at 9:00 a.m. to talk manufacturing in america.
269, will be meeting at 9:00 with top automobile executives concerning jobs in america. i want new plants to be built here for cars sold here!
270, a photo delivered yesterday that will be displayed in the uper/lower press hal. thank you abas!
271," great meeting with automobile industry leaders at the this morning. together, we will maga!"
272, signing orders to move forward with the construction of the keystone xl and dakota access pipelines in the oval off
273, great meeting with ford ceo mark fields and general motors ceo mary barra at the today.
274, congratulations to for being number one in inauguration ratings. they were many times higher than fake news - public is smart!
275," if chicago doesn't fix the horrible ""carnage"" going on, 228 shotings in 2017 with 42 kilings (up 24% from 2016), i will send in the feds!"
276," big day planed on national security tomorow. among many other things, we will build the wal!"
277," i will be asking for a major investigation into voter fraud, including those registered to vote in two states, those who are illegal and...."
278," even, those registered to vote who are dead (and many for a long time). depending on results, we will strengthen up voting procedures!"
279, i will be making my supreme court pick on thursday of next wek.thank you!
280, i will be interviewed by tonight at 10 o'clock on . will be my first interview from the white house.
281," beginning today, the united states of america gets back control of its borders. full speech from today :"
282," as your president, i have no higher duty than to protect the lives of the american people."
283," "": . first interview since taking ofice. tonight on tonight. """
284, interview with david muir of news in 10 minutes. enjoy!
285," ungrateful traitor chelsea maning, who should never have been released from prison, is now calling president obama a weak leader. terible!"
286, the u.s. has a 60 billion dollar trade deficit with mexico. it has been a one-sided deal from the beginning of nafta with massive numbers...
287," of jobs and companies lost. if mexico is unwilling to pay for the badly neded wal, then it would be better to cancel the upcoming meting."
288," spoke at the congressional retreat in philadelphia, pa. this afternoon w/ , , . th"
289, will be interviewed by on at 10:00pm tonight. enjoy!
290, miami-dade mayor drops sanctuary policy. right decision. strong!
291," look forward to seeing final results of votestand. greg philips and crew say at least 3,000,000 votes were ilegal. we must do beter!"
292," mexico has taken advantage of the u.s. for long enough. massive trade deficits &amp; little help on the very weak border must change, now!"
293, the is so important. to all of you marching --- you have my full suport!
294, . mike pence will be speaking at today's -- you have our full suport!
295, statement on international holocaust remembrance day:
296, congratulations secretary matis!
0, i promise that our administration will always have your back. we will always be with you!
1, congratulations secretary matis!
2, statement on international holocaust remembrance day:
3, . mike pence will be speaking at today's -- you have our full suport!
4, the is so important. to all of you marching --- you have my full suport!
5," mexico has taken advantage of the u.s. for long enough. massive trade deficits & little help on the very weak border must change, now!"
6," look forward to seeing final results of votestand. greg philips and crew say at least 03,000,000 votes were ilegal. we must do beter!"
7, miami-dade mayor drops sanctuary policy. right decision. strong!
8, will be interviewed by on at 10:00pm tonight. enjoy!
9," spoke at the congressional retreat in philadelphia, pa. this afternoon w/ , , . th"
10," of jobs and companies lost. if mexico is unwilling to pay for the badly neded wal, then it would be better to cancel the upcoming meting."
11, the u.s. has a 60 billion dollar trade deficit with mexico. it has been a one-sided deal from the beginning of nafta with massive numbers...
12," ungrateful traitor chelsea maning, who should never have been released from prison, is now calling president obama a weak leader. terible!"
13, interview with david muir of news in 10 minutes. enjoy!
14," "": . first interview since taking ofice. tonight on tonight. """
15," as your president, i have no higher duty than to protect the lives of the american people."
16," beginning today, the united states of america gets back control of its borders. full speech from today :"
17, i will be interviewed by tonight at 10 o'clock on . will be my first interview from the white house.
18, i will be making my supreme court pick on thursday of next wek.thank you!
19," even, those registered to vote who are dead (and many for a long time). depending on results, we will strengthen up voting procedures!"
20," i will be asking for a major investigation into voter fraud, including those registered to vote in two states, those who are illegal and...."
21," big day planed on national security tomorow. among many other things, we will build the wal!"
22," if chicago doesn't fix the horrible ""carnage"" going on, 228 shotings in 2017 with 42 kilings (up 24% from 2016), i will send in the feds!"
23, congratulations to for being number one in inauguration ratings. they were many times higher than fake news - public is smart!
24, great meeting with ford ceo mark fields and general motors ceo mary barra at the today.
25, signing orders to move forward with the construction of the keystone xl and dakota access pipelines in the oval off
26," great meeting with automobile industry leaders at the this morning. together, we will maga!"
27, a photo delivered yesterday that will be displayed in the uper/lower press hal. thank you abas!
28, will be meeting at 9:00 with top automobile executives concerning jobs in america. i want new plants to be built here for cars sold here!
29, busy week planed with a heavy focus on jobs and national security. top executives coming in at 9:00 a.m. to talk manufacturing in america.
30," peaceful protests are a hallmark of our democracy. even if i don't always agre, i recognize the rights of people to express their views."
31," wow, television ratings just out: 31 million people watched the inauguration, 11 million more than the very good ratings from 4 years ago!"
32, watched protests yesterday but was under the impression that we just had an election! why didn't these people vote? celebs hurt cause badly.
33," had a great meeting at cia headquarters yesterday, packed house, paid great respect to wal, long standing ovations, amazing people. win!"
34," rt : ""do not allow anyone to tell you that it cannot be done. no challenge can match the heart and fight and spirit of america."""
35, a fantastic day and evening in washington d.c.thank you to and so many other news outlets for the great reviews of the spech!
36," thank you for another wonderful evening in washington, d.c. together, we will make america great again_x1f1fa__x1f1f8_"
37, to all americans_x1f1fa__x1f1f8_
38," so to all americans, in every city near and far, small and large, from mountain to mountain..."
39, it is time to remember that...
40, we will follow two simple rules: buy american & hire american!
41, we will bring back our jobs. we will bring back our borders. we will bring back our wealth - and we will bring back our dreams!
42," the forgotten men and women of our country will be forgotten no longer. from this moment on, it s going to be"
43," january 20th 2017, will be remembered as the day the people became the rulers of this nation again."
44," what truly maters is not which party controls our government, but whether our government is controled by the people."
45," power from washington, d.c. and giving it back to you, the american people."
46," today we are not merely transferring power from one administration to another, or from one party to another but we are transfering..."
47, it all begins today! i will see you at 11:00 a.m. for the swearing-in. the movement continues - the work begins!
48," thank you for a wonderful evening in washington, d.c. inauguration"
49," thank you for joining us at the lincoln memorial tonight- a very special evening! together, we are going to make am"
50, join me at 4pm over at the lincoln memorial with my family!
51, great concert at 4:00 p.m. today at lincoln memorial. enjoy!
52, on my way!
53," the american people. i have no doubt that we wil, together, make america great again!"
54," getting ready to leave for washington, d.c. the journey begins and i will be working and fighting very hard to make it a great journey for.."
55," ""it wasn't donald trump that divided this country, this country has been divided for a long time!"" stated today by reverend franklin graham."
56, thank you to our amazing wounded wariors for their service. it was an honor to be with them tonight in d.c.
57, great seeing and kimberly at this evenings vp diner!
58," looking forward to a speedy recovery for george and barbara bush, both hospitalized. thank you for your wonderful leter!"
59," writing my inaugural address at the winter white house, mar-a-lago, three weks ago. looking forward to friday."
60, . was great last night in d.c. playing for 147 diplomats and ambasadors from countries around the world. thanks alabama!
61, no wonder the today show on biased is doing so badly compared to its glorious past. little credibility!
62," ""bayer ag has pledged to add u.s. jobs and investments after meeting with president-elect donald trump, the latest in a string..."""
